last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,49121,514,총계,385,201805,2018,5,부정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,18305,154,01#115,130,201805,2018,5,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,3065,32,02#141,23,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,1883,18,03#107,9,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,175,2,03#122,1,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,970,19,03#143,9,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,15903,161,03#137,104,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#132,03,아시아,3,싱가포르,0,0,03#132,1,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#110,03,아시아,3,인도,0,0,03#110,1,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#111,03,아시아,3,인도네시아,583,8,03#111,2,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,557,6,03#142,4,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,691,7,03#135,5,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,567,6,03#128,5,201805,2018,5,부정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,166,1,03#109,3,201805,2018,5,부정기-유임여객-도착
,,,,,,,,04#227,04,미주,4,미국,0,0,04#227,21,201805,2018,5,부정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,1436,28,05#316,5,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,2,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,889,11,05#331,16,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,142,3,05#338,2,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,382,7,05#312,14,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#343,05,유럽,5,크로아티아,208,3,05#343,1,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#329,05,유럽,5,폴란드,376,6,05#329,2,201805,2018,5,부정기-유임여객-도착
,,,,,,,,05#307,05,유럽,5,프랑스,540,11,05#307,3,201805,2018,5,부정기-유임여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,2283,30,06#227_01,22,201805,2018,5,부정기-유임여객-도착
,,,,,,,,06#407,06,대양주,6,뉴질랜드,0,0,,,201805,2018,5,부정기-유임여객-도착
,,,,,,,,06#227_02,06,대양주,6,하와이,0,0,,,201805,2018,5,부정기-유임여객-도착
,,,,,,,,06#401,06,대양주,6,호주,0,0,,,201805,2018,5,부정기-유임여객-도착
,,,,,,,,07#114,07,기타,7,이스라엘,0,0,,,201805,2018,5,부정기-유임여객-도착
,,,,,,,,,,전체 합계,0,,37778,439,총계,354,201806,2018,6,부정기-유임여객-도착
