arrPassenger,depPassenger,passenger,time,year
"57,746",161,"57,907",06:00 ~ 06:59,2021
"43,267","7,414","50,681",07:00 ~ 07:59,2021
"50,245","41,630","91,875",08:00 ~ 08:59,2021
"37,279","101,419","138,698",09:00 ~ 09:59,2021
"9,492","174,760","184,252",10:00 ~ 10:59,2021
"59,389","71,585","130,974",11:00 ~ 11:59,2021
"34,829","37,526","72,355",12:00 ~ 12:59,2021
"38,376","61,432","99,808",13:00 ~ 13:59,2021
"94,925","89,497","184,422",14:00 ~ 14:59,2021
"159,151","48,825","207,976",15:00 ~ 15:59,2021
"225,682","46,706","272,388",16:00 ~ 16:59,2021
"132,564","47,830","180,394",17:00 ~ 17:59,2021
"57,750","86,235","143,985",18:00 ~ 18:59,2021
"28,786","89,480","118,266",19:00 ~ 19:59,2021
"5,287","82,059","87,346",20:00 ~ 20:59,2021
"2,120","34,851","36,971",21:00 ~ 21:59,2021
685,"1,234","1,919",22:00 ~ 22:59,2021
"1,553","47,973","49,526",23:00 ~ 23:59,2021
"16,193","184,661","200,854",00:00 ~ 00:59,2022
"3,296","134,583","137,879",01:00 ~ 01:59,2022
"2,325","44,308","46,633",02:00 ~ 02:59,2022
"68,218","6,260","74,478",03:00 ~ 03:59,2022
"309,363","1,133","310,496",04:00 ~ 04:59,2022
"418,506",474,"418,980",05:00 ~ 05:59,2022
"633,244","36,508","669,752",06:00 ~ 06:59,2022
"544,379","178,075","722,454",07:00 ~ 07:59,2022
"459,865","377,976","837,841",08:00 ~ 08:59,2022
"359,986","671,986","1,031,972",09:00 ~ 09:59,2022
"192,713","894,075","1,086,788",10:00 ~ 10:59,2022
"229,804","702,906","932,710",11:00 ~ 11:59,2022
"160,341","325,224","485,565",12:00 ~ 12:59,2022
"295,681","211,742","507,423",13:00 ~ 13:59,2022
"291,204","207,738","498,942",14:00 ~ 14:59,2022
"472,789","312,280","785,069",15:00 ~ 15:59,2022
"745,867","285,887","1,031,754",16:00 ~ 16:59,2022
"798,325","307,032","1,105,357",17:00 ~ 17:59,2022
"425,813","370,043","795,856",18:00 ~ 18:59,2022
"368,228","506,075","874,303",19:00 ~ 19:59,2022
"167,685","623,940","791,625",20:00 ~ 20:59,2022
"162,315","444,945","607,260",21:00 ~ 21:59,2022
"75,914","130,577","206,491",22:00 ~ 22:59,2022
"28,222","211,505","239,727",23:00 ~ 23:59,2022
"143,276","359,366","502,642",00:00 ~ 00:59,2023
"55,352","293,471","348,823",01:00 ~ 01:59,2023
"14,641","217,365","232,006",02:00 ~ 02:59,2023
"162,873","39,194","202,067",03:00 ~ 03:59,2023
"822,497","4,713","827,210",04:00 ~ 04:59,2023
"1,348,446","2,549","1,350,995",05:00 ~ 05:59,2023
"1,725,466","282,388","2,007,854",06:00 ~ 06:59,2023
"1,297,405","903,246","2,200,651",07:00 ~ 07:59,2023
"1,003,093","1,739,858","2,742,951",08:00 ~ 08:59,2023
"912,837","1,876,645","2,789,482",09:00 ~ 09:59,2023
"805,210","2,048,871","2,854,081",10:00 ~ 10:59,2023
"1,066,261","1,723,127","2,789,388",11:00 ~ 11:59,2023
"1,088,062","1,500,645","2,588,707",12:00 ~ 12:59,2023
"1,162,809","1,303,897","2,466,706",13:00 ~ 13:59,2023
"1,225,399","1,129,044","2,354,443",14:00 ~ 14:59,2023
"1,637,641","1,280,472","2,918,113",15:00 ~ 15:59,2023
"1,869,141","1,099,849","2,968,990",16:00 ~ 16:59,2023
"1,848,431","1,096,588","2,945,019",17:00 ~ 17:59,2023
"1,402,863","1,152,356","2,555,219",18:00 ~ 18:59,2023
"1,138,639","1,283,206","2,421,845",19:00 ~ 19:59,2023
"1,143,306","1,562,423","2,705,729",20:00 ~ 20:59,2023
"1,098,553","1,452,712","2,551,265",21:00 ~ 21:59,2023
"677,829","862,999","1,540,828",22:00 ~ 22:59,2023
"235,178","680,009","915,187",23:00 ~ 23:59,2023
"167,445","500,140","667,585",00:00 ~ 00:59,2024
"80,436","383,077","463,513",01:00 ~ 01:59,2024
"33,077","170,530","203,607",02:00 ~ 02:59,2024
"236,048","33,643","269,691",03:00 ~ 03:59,2024
"1,033,422","12,736","1,046,158",04:00 ~ 04:59,2024
"1,598,317","30,153","1,628,470",05:00 ~ 05:59,2024
"1,946,813","259,463","2,206,276",06:00 ~ 06:59,2024
"1,665,930","1,139,619","2,805,549",07:00 ~ 07:59,2024
"1,166,299","2,242,411","3,408,710",08:00 ~ 08:59,2024
"1,271,133","2,492,189","3,763,322",09:00 ~ 09:59,2024
"973,431","2,704,457","3,677,888",10:00 ~ 10:59,2024
"1,484,872","2,034,356","3,519,228",11:00 ~ 11:59,2024
"1,437,059","1,952,138","3,389,197",12:00 ~ 12:59,2024
"1,658,471","1,759,148","3,417,619",13:00 ~ 13:59,2024
"1,807,746","1,549,814","3,357,560",14:00 ~ 14:59,2024
"1,961,060","1,720,947","3,682,007",15:00 ~ 15:59,2024
"2,210,000","1,656,521","3,866,521",16:00 ~ 16:59,2024
"2,339,097","1,468,842","3,807,939",17:00 ~ 17:59,2024
"1,723,697","1,444,069","3,167,766",18:00 ~ 18:59,2024
"1,608,552","1,659,094","3,267,646",19:00 ~ 19:59,2024
"1,760,268","1,700,604","3,460,872",20:00 ~ 20:59,2024
"1,559,155","1,842,255","3,401,410",21:00 ~ 21:59,2024
"968,440","1,415,064","2,383,504",22:00 ~ 22:59,2024
"392,386","924,146","1,316,532",23:00 ~ 23:59,2024
"189,393","504,645","694,038",00:00 ~ 00:59,2025
"140,243","271,205","411,448",01:00 ~ 01:59,2025
"32,125","205,180","237,305",02:00 ~ 02:59,2025
"268,879","45,230","314,109",03:00 ~ 03:59,2025
"1,070,553","11,104","1,081,657",04:00 ~ 04:59,2025
"1,791,356","56,570","1,847,926",05:00 ~ 05:59,2025
"2,031,097","319,495","2,350,592",06:00 ~ 06:59,2025
"1,593,163","1,282,403","2,875,566",07:00 ~ 07:59,2025
"1,005,107","2,414,583","3,419,690",08:00 ~ 08:59,2025
"965,961","2,771,698","3,737,659",09:00 ~ 09:59,2025
"1,141,583","2,897,674","4,039,257",10:00 ~ 10:59,2025
"1,603,743","2,245,129","3,848,872",11:00 ~ 11:59,2025
"1,534,123","2,062,348","3,596,471",12:00 ~ 12:59,2025
"1,773,061","1,901,812","3,674,873",13:00 ~ 13:59,2025
"1,963,754","1,597,829","3,561,583",14:00 ~ 14:59,2025
"2,187,073","1,805,074","3,992,147",15:00 ~ 15:59,2025
"2,417,751","1,739,179","4,156,930",16:00 ~ 16:59,2025
"2,524,624","1,646,371","4,170,995",17:00 ~ 17:59,2025
"1,741,705","1,587,882","3,329,587",18:00 ~ 18:59,2025
"1,781,904","1,697,048","3,478,952",19:00 ~ 19:59,2025
"1,874,683","1,780,451","3,655,134",20:00 ~ 20:59,2025
"1,735,627","1,847,341","3,582,968",21:00 ~ 21:59,2025
"958,896","1,291,886","2,250,782",22:00 ~ 22:59,2025
"363,126","770,088","1,133,214",23:00 ~ 23:59,2025
