startDt,endDt,airlineType,koreaAirport,ap1,ap2,ap_ROUTE,arr_WEIGHT,total_PERSON,dep_WEIGHT,total_FP,dep_PERSON,arr_PERSON,total_WEIGHT,arr_FP,al_ICAO,dep_FP,year
,,,,인천 (RKSI),나고야 (RJGG),RJGG,0,0,0,6,0,0,0,4,VDA,2,2018
,,,,인천 (RKSI),나보이 (UTSA),UTSA,46,0,0,3,0,0,46,2,UZB,1,2018
,,,,인천 (RKSI),난닝(남령) (ZGNN),ZGNN,0,0,0,1,0,0,0,0,GTI,1,2018
,,,,인천 (RKSI),난닝(남령) (ZGNN),ZGNN,65,8490,59,136,3900,4590,124,68,KAL,68,2018
,,,,인천 (RKSI),난디 (NFFN),NFFN,521,47885,1278,313,24014,23871,1799,157,KAL,156,2018
,,,,인천 (RKSI),남경 (ZSNJ),ZSNJ,1074,111883,1011,730,55481,56402,2085,365,AAR,365,2018
,,,,인천 (RKSI),남경 (ZSNJ),ZSNJ,898,100953,1586,730,51957,48996,2484,365,CES,365,2018
,,,,인천 (RKSI),남경 (ZSNJ),ZSNJ,0,0,0,4,0,0,0,1,VDA,3,2018
,,,,인천 (RKSI),노보시비르스크 톨바초보 (UNNT),UNNT,0,6,0,1,6,0,0,0,,1,2018
,,,,인천 (RKSI),노보시비르스크 톨바초보 (UNNT),UNNT,0,0,0,2,0,0,0,2,ABL,0,2018
,,,,인천 (RKSI),노보시비르스크 톨바초보 (UNNT),UNNT,186,31412,324,226,15501,15911,510,113,SBI,113,2018
,,,,인천 (RKSI),노보시비르스크 톨바초보 (UNNT),UNNT,0,100,0,2,50,50,0,1,SSG,1,2018
,,,,인천 (RKSI),노보시비르스크 톨바초보 (UNNT),UNNT,0,0,0,1,0,0,0,1,VAS,0,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,42941,378852,35829,2291,187170,191682,78770,1145,AAR,1146,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,0,0,0,1,0,0,0,0,ABW,1,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,3570,0,5341,382,0,0,8911,189,AIH,193,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,0,0,36,2,0,0,36,0,CKS,2,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,714,101669,532,662,51052,50617,1246,331,ESR,331,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,7307,328099,9362,1482,165269,162830,16669,742,HVN,740,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,886,120079,744,730,60944,59135,1630,365,JJA,365,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,729,119197,678,730,59166,60031,1407,365,JNA,365,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,34015,484409,35382,2848,243625,240784,69397,1424,KAL,1424,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,3,721,3,4,360,361,6,2,PIC,2,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,15,3891,19,23,2186,1705,34,11,TWB,12,2018
,,,,인천 (RKSI),노이바이(하노이) (VVNB),VVNB,2316,282995,2276,1471,136455,146540,4592,738,VJC,733,2018
,,,,인천 (RKSI),누르술탄 나자르바예프 (UACC),UACC,177,27436,419,208,13776,13660,596,104,KZR,104,2018
,,,,인천 (RKSI),뉴어크 리버티 (KEWR),KEWR,0,0,200,9,0,0,200,0,FDX,9,2018
,,,,인천 (RKSI),뉴욕 (KJFK),KJFK,17911,274172,20403,1077,138117,136055,38314,537,AAR,540,2018
,,,,인천 (RKSI),뉴욕 (KJFK),KJFK,4374,0,754,62,0,0,5128,53,CKS,9,2018
,,,,인천 (RKSI),뉴욕 (KJFK),KJFK,9086,0,11730,247,0,0,20816,114,GTI,133,2018
,,,,인천 (RKSI),뉴욕 (KJFK),KJFK,29865,489268,29110,2078,241589,247679,58975,1037,KAL,1041,2018
,,,,인천 (RKSI),뉴욕 (KJFK),KJFK,88,0,88,2,0,0,176,1,PAC,1,2018
,,,,인천 (RKSI),니가타 (RJSN),RJSN,304,41551,318,351,20800,20751,622,176,KAL,175,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,2604,247453,1816,732,123358,124095,4420,367,AAR,365,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,0,0,0,1,0,0,0,1,ABL,0,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,396,83764,318,475,42844,40920,714,237,ASV,238,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,1373,262678,1103,1617,131532,131146,2476,809,ESR,808,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,752,102332,730,735,51364,50968,1482,369,HVN,366,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,2076,320523,1686,1946,162620,157903,3762,972,JJA,974,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,2692,472377,2178,2006,234291,238086,4870,1004,JNA,1002,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,3767,374413,3386,1501,186584,187829,7153,751,KAL,750,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,223,41014,175,242,20207,20807,398,121,PIC,121,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,1203,231693,1194,1369,116781,114912,2397,686,TWB,683,2018
,,,,인천 (RKSI),다낭 (VVDN),VVDN,1641,288555,1538,1507,141840,146715,3179,753,VJC,754,2018
,,,,인천 (RKSI),다윈 (YPDN),YPDN,0,0,9,1,0,0,9,0,ADB,1,2018
,,,,인천 (RKSI),다카마쓰 (RJOT),RJOT,335,80478,299,522,40236,40242,634,261,ASV,261,2018
,,,,인천 (RKSI),달랏 (VVDL),VVDL,23,2419,19,20,1137,1282,42,10,VJC,10,2018
,,,,인천 (RKSI),대구 (RKTN),RKTN,0,0,0,1,0,0,0,0,TWB,1,2018
,,,,인천 (RKSI),대련 (ZYTL),ZYTL,2154,162981,1897,917,76448,86533,4051,457,AAR,460,2018
,,,,인천 (RKSI),대련 (ZYTL),ZYTL,0,0,0,5,0,0,0,5,ABW,0,2018
,,,,인천 (RKSI),대련 (ZYTL),ZYTL,0,0,0,1,0,0,0,1,CCA,0,2018
,,,,인천 (RKSI),대련 (ZYTL),ZYTL,2700,252438,2694,2191,126025,126413,5394,1096,CSN,1095,2018
,,,,인천 (RKSI),대련 (ZYTL),ZYTL,4487,167922,4260,939,80827,87095,8747,469,KAL,470,2018
,,,,인천 (RKSI),댈러스 (KDFW),KDFW,3004,187331,5919,732,95524,91807,8923,367,AAL,365,2018
,,,,인천 (RKSI),댈러스 (KDFW),KDFW,217,0,270,6,0,0,487,3,AAR,3,2018
,,,,인천 (RKSI),댈러스 (KDFW),KDFW,74,0,455,7,0,0,529,2,CKS,5,2018
,,,,인천 (RKSI),댈러스 (KDFW),KDFW,75,0,0,1,0,0,75,1,GTI,0,2018
,,,,인천 (RKSI),댈러스 (KDFW),KDFW,3990,109170,6861,525,56809,52361,10851,262,KAL,263,2018
,,,,인천 (RKSI),덴파사(응우라 라이) (WADD),WADD,1501,108455,3526,577,52973,55482,5027,289,GIA,288,2018
