date,temp,precip,wind_speed,humidity
2021-09-21,22.433333333333334,41.6,3.0625,82.41666666666667
2021-09-22,20.170833333333334,31.0,2.75,80.25
2021-09-23,20.733333333333334,0.0,2.4291666666666667,67.54166666666667
2021-09-24,21.708333333333332,0.0,2.1750000000000003,67.91666666666667
2021-09-25,21.0625,0.0,2.2958333333333334,72.70833333333333
2021-09-26,22.599999999999998,0.0,2.3208333333333333,64.45833333333333
2021-09-27,21.491666666666664,0.0,2.441666666666667,65.375
2021-09-28,21.458333333333332,1.2,2.0416666666666665,73.70833333333333
2021-09-29,20.308333333333334,13.200000000000001,1.758333333333333,93.70833333333333
2021-09-30,20.2625,0.0,1.4333333333333333,84.25
2021-10-01,21.254166666666666,12.7,2.245833333333333,75.25
2021-10-02,20.491666666666667,0.6,1.5666666666666667,77.5
2021-10-03,22.191666666666666,0.0,1.9666666666666668,71.04166666666667
2021-10-04,22.520833333333332,3.6,2.795833333333333,79.33333333333333
2021-10-05,23.849999999999998,0.0,3.308333333333333,82.08333333333333
2021-10-06,19.033333333333335,6.4,2.7541666666666664,92.04166666666667
2021-10-07,19.529166666666665,4.6,1.45,85.25
2021-10-08,18.666666666666668,3.5,1.675,91.0
2021-10-09,20.766666666666666,0.4,2.3541666666666665,83.45833333333333
2021-10-10,20.224999999999998,13.9,2.2291666666666665,89.33333333333333
2021-10-11,15.079166666666666,0.6,2.1374999999999997,79.66666666666667
2021-10-12,17.933333333333334,0.0,3.3708333333333336,67.08333333333333
2021-10-13,19.445833333333333,0.0,2.3916666666666666,66.04166666666667
2021-10-14,19.8,0.0,2.058333333333333,73.70833333333333
2021-10-15,19.041666666666668,0.0,2.0625,74.79166666666667
2021-10-16,11.38695652173913,0.0,3.356521739130435,48.17391304347826
2021-10-17,5.579166666666667,0.0,2.8166666666666664,38.333333333333336
2021-10-18,9.104166666666666,3.2,2.1458333333333335,56.625
2021-10-19,11.2125,6.8,2.475,74.83333333333333
2021-10-20,9.508333333333333,0.0,1.6416666666666666,64.54166666666667
2021-10-21,9.695833333333333,0.0,1.4375,63.666666666666664
2021-10-22,10.779166666666667,0.0,1.9708333333333332,59.583333333333336
2021-10-23,11.387500000000001,0.0,1.5458333333333334,57.166666666666664
2021-10-24,11.25,0.0,1.6666666666666667,63.958333333333336
2021-10-25,11.612499999999999,0.0,1.4541666666666666,64.5
2021-10-26,12.733333333333334,0.0,1.7291666666666667,73.75
2021-10-27,13.637500000000001,0.0,2.0500000000000003,65.41666666666667
2021-10-28,12.608333333333334,0.0,1.3416666666666668,54.333333333333336
2021-10-29,14.5,0.0,1.9958333333333333,54.791666666666664
2021-10-30,13.8125,0.0,1.6208333333333333,61.916666666666664
2021-10-31,14.041666666666666,0.7,1.4958333333333333,72.0
2021-11-01,13.008333333333333,0.0,1.8666666666666665,77.625
2021-11-02,11.549999999999999,0.0,1.7583333333333335,75.95833333333333
2021-11-03,11.904166666666667,0.0,1.6083333333333334,70.75
2021-11-04,12.245833333333332,0.0,1.3708333333333333,79.58333333333333
2021-11-05,12.924999999999999,0.0,1.4916666666666665,70.0
2021-11-06,14.049999999999999,0.0,1.5916666666666668,61.666666666666664
2021-11-07,15.012500000000001,0.0,2.1666666666666665,57.958333333333336
2021-11-08,9.487499999999999,25.5,3.220833333333333,79.83333333333333
2021-11-09,4.9875,2.1999999999999997,2.283333333333333,81.79166666666667
2021-11-10,4.0375000000000005,0.3,2.4791666666666665,72.79166666666667
2021-11-11,5.375,0.0,2.8208333333333333,61.833333333333336
2021-11-12,4.529166666666667,0.0,2.8083333333333336,56.541666666666664
2021-11-13,6.75,0.0,1.4291666666666665,65.16666666666667
2021-11-14,11.241666666666667,0.0,2.0625,69.08333333333333
2021-11-15,10.174999999999999,0.0,1.7208333333333334,71.75
2021-11-16,8.708695652173914,0.0,1.9434782608695653,66.21739130434783
2021-11-17,7.395833333333333,0.0,1.6291666666666667,64.08333333333333
2021-11-18,11.420833333333334,0.0,2.3249999999999997,69.33333333333333
2021-11-19,13.104166666666666,0.0,2.0625,84.08333333333333
2021-11-20,10.454166666666667,0.0,1.625,78.91666666666667
2021-11-21,10.645833333333334,0.0,1.7416666666666665,73.375
2021-11-22,3.3708333333333336,7.2,4.283333333333333,64.25
2021-11-23,-0.5541666666666667,0.0,3.2458333333333336,60.625
2021-11-24,3.5375,0.0,1.8083333333333333,63.75
2021-11-25,5.954166666666667,0.0,2.191666666666667,56.5
2021-11-26,2.9166666666666665,0.0,2.125,56.291666666666664
2021-11-27,3.295833333333333,0.0,1.6583333333333332,53.625
2021-11-28,4.804166666666666,0.0,1.4583333333333333,52.833333333333336
2021-11-29,7.429166666666667,0.0,1.6333333333333335,59.416666666666664
2021-11-30,6.2875000000000005,27.2,3.4333333333333336,81.41666666666667
2021-12-01,-0.9958333333333335,0.0,4.341666666666667,51.458333333333336
2021-12-02,0.7583333333333333,0.1,2.1958333333333333,66.29166666666667
2021-12-03,2.279166666666667,0.4,2.8833333333333333,55.0
2021-12-04,1.2333333333333334,0.0,1.9041666666666668,49.833333333333336
2021-12-05,2.8041666666666667,0.0,1.4583333333333333,49.041666666666664
2021-12-06,5.145833333333333,0.0,1.6875,59.875
2021-12-07,6.979166666666667,0.0,1.3958333333333333,67.08333333333333
2021-12-08,6.7625,0.0,1.4291666666666665,70.04166666666667
2021-12-09,6.229166666666667,0.0,2.2624999999999997,70.25
2021-12-10,7.179166666666667,0.7,2.1708333333333334,79.625
2021-12-11,6.008333333333333,0.0,1.4083333333333332,84.45833333333333
2021-12-12,1.8583333333333334,0.0,3.0875,64.5
2021-12-13,-2.4,0.0,2.4208333333333334,43.666666666666664
2021-12-14,3.225,0.4,2.0083333333333333,61.5
2021-12-15,7.2250000000000005,2.9,1.675,85.79166666666667
2021-12-16,6.45,0.0,1.7291666666666667,72.25
2021-12-17,-4.817391304347826,0.0,4.656521739130435,50.04347826086956
2021-12-18,-6.3875,1.6,2.0166666666666666,59.833333333333336
2021-12-19,-0.8624999999999999,1.4,2.0458333333333334,65.5
2021-12-20,4.658333333333333,0.0,2.1458333333333335,76.33333333333333
2021-12-21,5.6875,0.0,2.0791666666666666,74.04166666666667
2021-12-22,2.1416666666666666,0.0,1.8708333333333333,46.416666666666664
2021-12-23,2.5708333333333333,0.0,1.3666666666666665,54.333333333333336
2021-12-24,0.525,0.2,2.529166666666667,66.70833333333333
2021-12-25,-11.1875,0.0,3.9416666666666664,42.666666666666664
2021-12-26,-12.241666666666667,0.0,3.141666666666667,42.958333333333336
