destination,title,category,location,review_score,review_count,discount_price
나트랑,그린 월드 호텔 나트랑,호텔 ・ 4성급,냐짱 ・ 베트남,4.6,444,263218
나트랑,"나트랑 메리어트 리조트 & 스파, 혼 째 섬",호텔,냐짱 ・ 베트남,4.6,37,303099
나트랑,혼 탐 리조트 - 구. 메르펄 혼 탐 리조트,리조트 ・ 5성급,냐짱 ・ 베트남,4.2,111,215739
나트랑,플로리다 호텔,호텔 ・ 5성급,냐짱 ・ 베트남,4.2,214,62594
나트랑,디쿠아 호텔,아파트호텔 ・ 5성급,냐짱 ・ 베트남,4.5,7,102976
나트랑,더 아남 깜란,호텔 ・ 5성급,베트남,4.7,220,553140
나트랑,아노바 나트랑 호텔,호텔 ・ 5성급,냐짱 ・ 베트남,4.4,267,184094
나트랑,보마 리조트 나트랑,리조트 ・ 5성급,냐짱 ・ 베트남,4.6,428,325572
나트랑,알마 리조트 캄란,리조트 ・ 5성급,베트남,4.6,701,430154
나트랑,"빌라 르 코라이, 어 그란 멜리아 호텔",리조트 ・ 5성급,냐짱 ・ 베트남,4.7,38,631316
나트랑,"빌라 르 코라이, 어 그란 멜리아 호텔",리조트 ・ 5성급,냐짱 ・ 베트남,4.7,38,631316
싱가포르,스위소텔 더 스탬포드 싱가포르,호텔 ・ 5성급,중심 비즈니스 지구 콜로니얼 디스트릭트 싱가포르 ・ 싱가포르,4.6,138,836881
싱가포르,"파크로얄 컬렉션 마리나 베이, 싱가포르",호텔 ・ 5성급,중심 비즈니스 지구 싱가포르 ・ 싱가포르,4.7,166,981992
싱가포르,요텔 싱가포르 오차드 로드,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.5,728,429467
싱가포르,"The Ritz-Carlton, Millenia Singapore",호텔,중심 비즈니스 지구 싱가포르 ・ 싱가포르,4.6,140,1606396
싱가포르,파라독스 싱가포르 머천트 코트 앳 클라크 키,호텔 ・ 5성급,클락키 싱가포르 ・ 싱가포르,4.4,182,585390
싱가포르,푸라마 리버프런트,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.1,253,444542
싱가포르,이비스 버짓 싱가포르 클라크 키,호텔 ・ 3성급,싱가포르 ・ 싱가포르,4.4,105,341198
싱가포르,요크 호텔,호텔 ・ 4성급,싱가포르 ・ 싱가포르,4.3,410,421694
싱가포르,푸라마 시티 센터 호텔,호텔 ・ 4성급,싱가포르 아우트럼 ・ 싱가포르,4.1,493,499758
