last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,03#135,03,아시아,3,태국,19659,2459,03#135,795,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#128,03,아시아,3,필리핀,24553,2752,03#128,989,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#109,03,아시아,3,홍콩,4544,1991,03#109,836,201802,2018,2,정기-환승여객-출발
,,,,,,,,04#219,04,미주,4,멕시코,90,50,04#219,26,201802,2018,2,정기-환승여객-출발
,,,,,,,,04#227,04,미주,4,미국,59811,3836,04#227,1002,201802,2018,2,정기-환승여객-출발
,,,,,,,,04#206,04,미주,4,캐나다,8319,772,04#206,104,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#316,05,유럽,5,네덜란드,362,171,05#316,40,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#317,05,유럽,5,노르웨이,0,0,05#317,11,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#308,05,유럽,5,독일,1153,548,05#308,174,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#331,05,유럽,5,러시아,6789,547,05#331,277,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#313,05,유럽,5,룩셈부르크,0,0,05#313,11,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#303,05,유럽,5,벨기에,0,0,05#303,3,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#321,05,유럽,5,스웨덴,0,0,05#321,7,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#322,05,유럽,5,스위스,53,65,05#322,16,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#320,05,유럽,5,스페인,239,90,05#320,36,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#342,05,유럽,5,아제르바이잔,0,0,05#342,13,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#305,05,유럽,5,영국,2059,386,05#305,84,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#302,05,유럽,5,오스트리아,102,56,05#302,12,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,745,228,05#338,36,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#312,05,유럽,5,이탈리아,1112,257,05#312,75,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#326,05,유럽,5,체코,319,98,05#326,28,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#149,05,유럽,5,카자흐스탄,509,81,05#149,24,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#136,05,유럽,5,튀르키예,702,291,05#136,74,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#329,05,유럽,5,폴란드,11,81,05#329,20,201802,2018,2,정기-환승여객-출발
,,,,,,,,05#307,05,유럽,5,프랑스,1368,363,05#307,83,201802,2018,2,정기-환승여객-출발
