startDt,endDt,ap_icao,int_dom_cls,dep_sch_cnt,dep_cnt,dep_cnl_cnt,arr_sch_cnt,arr_cnt,arr_cnl_cnt,year
,,제주공항,국제선,9419,9374,41,9417,9372,39,2025
,,제주공항,국내선,77977,77250,720,77876,77109,675,2025
,,대구공항,국제선,4753,4749,1,4749,4745,1,2025
,,대구공항,국내선,7019,6991,28,7008,6980,26,2025
,,광주공항,국내선,6655,6558,98,6643,6542,88,2025
,,여수공항,국내선,2521,2386,134,2519,2372,133,2025
,,울산공항,국제선,2,2,0,2,2,0,2025
,,울산공항,국내선,2168,2143,24,2167,2145,22,2025
,,포항경주공항,국내선,1071,1017,49,1069,1008,46,2025
,,사천공항,국내선,966,946,18,965,944,17,2025
,,무안공항,국내선,1,1,0,0,0,0,2025
